country,year,percentage,average across the years,median
Mexico,2002,33.3,31.9,31.7
Mexico,2001,32.7,31.9,31.7
Mexico,2000,33.0,31.9,31.7
Mexico,1999,32.7,31.9,31.7
Mexico,1998,32.9,31.9,31.7
Mexico,1997,33.1,31.9,31.7
Mexico,1996,31.7,31.9,31.7
Mexico,1995,32.0,31.9,31.7
Mexico,1994,31.2,31.9,31.7
Mexico,1993,30.6,31.9,31.7
Mexico,1992,30.1,31.9,31.7
Mexico,1991,29.7,31.9,31.7
Mexico,1990,30.0,31.9,31.7
Mexico,1989,30.3,31.9,31.7
Mexico,1988,30.6,31.9,31.7
Mexico,1987,30.2,31.9,31.7
Mexico,1986,29.8,31.9,31.7
Mexico,1985,29.4,31.9,31.7
Mongolia,2006,40.4,40.5,40.5
Mongolia,2005,40.4,40.5,40.5
Mongolia,2004,40.4,40.5,40.5
Mongolia,2003,40.3,40.5,40.5
Mongolia,2002,40.4,40.5,40.5
Mongolia,2001,40.3,40.5,40.5
Mongolia,2000,40.4,40.5,40.5
Mongolia,1999,40.4,40.5,40.5
Mongolia,1998,40.4,40.5,40.5
Mongolia,1997,40.4,40.5,40.5
Mongolia,1996,40.5,40.5,40.5
Mongolia,1995,40.4,40.5,40.5
Mongolia,1994,40.6,40.5,40.5
Mongolia,1993,40.7,40.5,40.5
Mongolia,1992,40.8,40.5,40.5
Mongolia,1991,40.9,40.5,40.5
Mongolia,1990,41.0,40.5,40.5
Mongolia,1989,40.7,40.5,40.5
Mongolia,1988,40.7,40.5,40.5
Mongolia,1987,40.4,40.5,40.5
Mongolia,1986,40.2,40.5,40.5
Mongolia,1985,39.9,40.5,40.5
Morocco,2006,26.2,24.9,25.9
Morocco,2005,26.1,24.9,25.9
Morocco,2004,26.0,24.9,25.9
Morocco,2003,25.9,24.9,25.9
Morocco,2002,24.5,24.9,25.9
Morocco,2001,24.6,24.9,25.9
Morocco,2000,25.9,24.9,25.9
Morocco,1999,27.2,24.9,25.9
Morocco,1998,26.8,24.9,25.9
Morocco,1997,26.3,24.9,25.9
Morocco,1996,25.9,24.9,25.9
Morocco,1995,25.3,24.9,25.9
Morocco,1994,25.1,24.9,25.9
Morocco,1993,24.6,24.9,25.9
Morocco,1992,24.3,24.9,25.9
Morocco,1991,24.1,24.9,25.9
Morocco,1990,23.7,24.9,25.9
Morocco,1989,23.4,24.9,25.9
Morocco,1988,23.2,24.9,25.9
Morocco,1987,22.7,24.9,25.9
Morocco,1986,22.7,24.9,25.9
Morocco,1985,22.3,24.9,25.9
Mozambique,2006,53.4,53.4,53.6
Mozambique,2005,53.4,53.4,53.6
Mozambique,2004,53.5,53.4,53.6
Mozambique,2003,53.7,53.4,53.6
Mozambique,2002,53.7,53.4,53.6
Mozambique,2001,53.7,53.4,53.6
Mozambique,2000,53.6,53.4,53.6
Mozambique,1999,53.6,53.4,53.6
Mozambique,1998,53.6,53.4,53.6
Mozambique,1997,53.6,53.4,53.6
Mozambique,1996,53.6,53.4,53.6
Mozambique,1995,53.6,53.4,53.6
Mozambique,1994,53.8,53.4,53.6
Mozambique,1993,53.9,53.4,53.6
Mozambique,1992,54.0,53.4,53.6
Mozambique,1991,54.1,53.4,53.6
Mozambique,1990,54.0,53.4,53.6
Mozambique,1989,53.6,53.4,53.6
Mozambique,1988,53.0,53.4,53.6
Mozambique,1987,52.4,53.4,53.6
Mozambique,1986,51.7,53.4,53.6
Mozambique,1985,51.3,53.4,53.6
Myanmar,2006,45.1,44.8,44.7
Myanmar,2005,45.1,44.8,44.7
Myanmar,2004,45.0,44.8,44.7
Myanmar,2003,45.0,44.8,44.7
Myanmar,2002,44.9,44.8,44.7
Myanmar,2001,44.9,44.8,44.7
Myanmar,2000,44.8,44.8,44.7
Myanmar,1999,44.8,44.8,44.7
Myanmar,1998,44.8,44.8,44.7
Myanmar,1997,44.8,44.8,44.7
Myanmar,1996,44.7,44.8,44.7
Myanmar,1995,44.7,44.8,44.7
Myanmar,1994,44.7,44.8,44.7
Myanmar,1993,44.7,44.8,44.7
Myanmar,1992,44.7,44.8,44.7
Myanmar,1991,44.7,44.8,44.7
Myanmar,1990,44.7,44.8,44.7
Myanmar,1989,44.7,44.8,44.7
Myanmar,1988,44.7,44.8,44.7
Myanmar,1987,44.6,44.8,44.7
Myanmar,1986,44.6,44.8,44.7
Myanmar,1985,44.6,44.8,44.7
Namibia,2006,43.8,45.5,45.3
Namibia,2005,43.8,45.5,45.3
Namibia,2004,44.1,45.5,45.3
Namibia,2003,44.0,45.5,45.3
Namibia,2002,44.0,45.5,45.3
Namibia,2001,44.3,45.5,45.3
Namibia,2000,44.8,45.5,45.3
Namibia,1999,44.9,45.5,45.3
Namibia,1998,45.1,45.5,45.3
Namibia,1997,45.4,45.5,45.3
Namibia,1996,45.3,45.5,45.3
Namibia,1995,45.3,45.5,45.3
Namibia,1994,45.4,45.5,45.3
Namibia,1993,45.0,45.5,45.3
Namibia,1992,45.5,45.5,45.3
Namibia,1991,45.0,45.5,45.3
Namibia,1990,44.8,45.5,45.3
Namibia,1989,46.2,45.5,45.3
Namibia,1988,47.4,45.5,45.3
Namibia,1987,47.3,45.5,45.3
Namibia,1986,49.0,45.5,45.3
Namibia,1985,49.7,45.5,45.3
Nepal,2006,40.6,39.0,39.5
Nepal,2005,40.5,39.0,39.5
Nepal,2004,40.4,39.0,39.5
Nepal,2003,41.0,39.0,39.5
Nepal,2002,40.7,39.0,39.5
Nepal,2001,40.4,39.0,39.5
Nepal,2000,40.1,39.0,39.5
Nepal,1999,40.0,39.0,39.5
Nepal,1998,39.8,39.0,39.5
Nepal,1997,39.7,39.0,39.5
Nepal,1996,39.5,39.0,39.5
Nepal,1995,39.3,39.0,39.5
Nepal,1994,39.1,39.0,39.5
Nepal,1993,38.9,39.0,39.5
Nepal,1992,38.7,39.0,39.5
Nepal,1991,38.5,39.0,39.5
Nepal,1990,37.9,39.0,39.5
Nepal,1989,37.3,39.0,39.5
Nepal,1988,36.9,39.0,39.5
Nepal,1987,36.5,39.0,39.5
Nepal,1986,36.1,39.0,39.5
Nepal,1985,35.8,39.0,39.5
Netherlands,2006,44.8,41.2,41.6
Netherlands,2005,44.6,41.2,41.6
Netherlands,2004,44.4,41.2,41.6
Netherlands,2003,44.1,41.2,41.6
Netherlands,2002,43.7,41.2,41.6
Netherlands,2001,43.4,41.2,41.6
Netherlands,2000,43.1,41.2,41.6
Netherlands,1999,42.8,41.2,41.6
Netherlands,1998,42.2,41.2,41.6
Netherlands,1997,42.1,41.2,41.6
Netherlands,1996,41.6,41.2,41.6
Netherlands,1995,41.3,41.2,41.6
Netherlands,1994,40.9,41.2,41.6
Netherlands,1993,40.6,41.2,41.6
Netherlands,1992,39.9,41.2,41.6
Netherlands,1991,39.5,41.2,41.6
Netherlands,1990,39.1,41.2,41.6
Netherlands,1989,38.2,41.2,41.6
Netherlands,1988,38.1,41.2,41.6
Netherlands,1987,37.4,41.2,41.6
Netherlands,1986,37.3,41.2,41.6
Netherlands,1985,37.1,41.2,41.6
Netherlands Antilles,2006,46.6,45.0,45.3
Netherlands Antilles,2005,47.7,45.0,45.3
Netherlands Antilles,2004,47.1,45.0,45.3
Netherlands Antilles,2003,45.8,45.0,45.3
Netherlands Antilles,2002,46.3,45.0,45.3
Netherlands Antilles,2001,46.3,45.0,45.3
Netherlands Antilles,2000,46.3,45.0,45.3
Netherlands Antilles,1999,45.8,45.0,45.3
Netherlands Antilles,1998,45.2,45.0,45.3
Netherlands Antilles,1997,45.9,45.0,45.3
Netherlands Antilles,1996,45.3,45.0,45.3
Netherlands Antilles,1995,44.8,45.0,45.3
Netherlands Antilles,1994,45.5,45.0,45.3
Netherlands Antilles,1993,44.9,45.0,45.3
Netherlands Antilles,1992,44.9,45.0,45.3
Netherlands Antilles,1991,44.3,45.0,45.3
Netherlands Antilles,1990,44.3,45.0,45.3
Netherlands Antilles,1989,44.2,45.0,45.3
Netherlands Antilles,1988,42.9,45.0,45.3
Netherlands Antilles,1987,42.7,45.0,45.3
Netherlands Antilles,1986,42.5,45.0,45.3
Netherlands Antilles,1985,41.0,45.0,45.3
New Caledonia,2006,38.4,37.7,37.0
New Caledonia,2005,38.1,37.7,37.0
New Caledonia,2004,37.9,37.7,37.0
New Caledonia,2003,38.3,37.7,37.0
New Caledonia,2002,38.0,37.7,37.0
New Caledonia,2001,37.8,37.7,37.0
New Caledonia,2000,37.5,37.7,37.0
New Caledonia,1999,38.4,37.7,37.0
New Caledonia,1998,37.6,37.7,37.0
New Caledonia,1997,37.3,37.7,37.0
New Caledonia,1996,37.0,37.7,37.0
New Caledonia,1995,38.0,37.7,37.0
New Caledonia,1994,37.7,37.7,37.0
New Caledonia,1993,37.3,37.7,37.0
New Caledonia,1992,37.0,37.7,37.0
New Caledonia,1991,38.0,37.7,37.0
New Caledonia,1990,37.7,37.7,37.0
New Caledonia,1989,37.3,37.7,37.0
New Caledonia,1988,36.9,37.7,37.0
New Caledonia,1987,37.5,37.7,37.0
New Caledonia,1986,38.7,37.7,37.0
New Caledonia,1985,37.3,37.7,37.0
New Zealand,2006,46.6,44.2,44.6
New Zealand,2005,46.4,44.2,44.6
New Zealand,2004,46.2,44.2,44.6
New Zealand,2003,45.8,44.2,44.6
New Zealand,2002,45.6,44.2,44.6
New Zealand,2001,45.4,44.2,44.6
New Zealand,2000,45.2,44.2,44.6
New Zealand,1999,45.2,44.2,44.6
New Zealand,1998,44.9,44.2,44.6
New Zealand,1997,44.7,44.2,44.6
New Zealand,1996,44.6,44.2,44.6
New Zealand,1995,44.1,44.2,44.6
New Zealand,1994,43.8,44.2,44.6
New Zealand,1993,43.4,44.2,44.6
New Zealand,1992,43.5,44.2,44.6
New Zealand,1991,43.4,44.2,44.6
New Zealand,1990,43.1,44.2,44.6
New Zealand,1989,42.5,44.2,44.6
New Zealand,1988,42.4,44.2,44.6
New Zealand,1987,41.9,44.2,44.6
New Zealand,1986,41.5,44.2,44.6
New Zealand,1985,41.3,44.2,44.6
Nicaragua,2006,30.1,29.6,28.9
Nicaragua,2005,30.0,29.6,28.9
Nicaragua,2004,29.8,29.6,28.9
Nicaragua,2003,29.8,29.6,28.9
Nicaragua,2002,29.7,29.6,28.9
Nicaragua,2001,29.8,29.6,28.9
Nicaragua,2000,29.7,29.6,28.9
Nicaragua,1999,29.1,29.6,28.9
Nicaragua,1998,28.7,29.6,28.9
Nicaragua,1997,28.8,29.6,28.9
Nicaragua,1996,28.9,29.6,28.9
Nicaragua,1995,29.1,29.6,28.9
Nicaragua,1994,29.2,29.6,28.9
Nicaragua,1993,29.3,29.6,28.9
Nicaragua,1992,29.5,29.6,28.9
Nicaragua,1991,29.6,29.6,28.9
Nicaragua,1990,29.7,29.6,28.9
Nicaragua,1989,29.8,29.6,28.9
Nicaragua,1988,30.0,29.6,28.9
Nicaragua,1987,30.1,29.6,28.9
Nicaragua,1986,30.3,29.6,28.9
Nicaragua,1985,30.3,29.6,28.9
Niger,2006,42.5,43.1,43.1
Niger,2005,42.5,43.1,43.1
Niger,2004,42.5,43.1,43.1
Niger,2003,42.5,43.1,43.1
Niger,2002,42.5,43.1,43.1
Niger,2001,42.5,43.1,43.1
Niger,2000,42.5,43.1,43.1
Niger,1999,42.6,43.1,43.1
Niger,1998,42.8,43.1,43.1
Niger,1997,42.9,43.1,43.1
Niger,1996,43.1,43.1,43.1
Niger,1995,43.2,43.1,43.1
Niger,1994,43.3,43.1,43.1
Niger,1993,43.5,43.1,43.1
Niger,1992,43.6,43.1,43.1
Niger,1991,43.7,43.1,43.1
Niger,1990,43.7,43.1,43.1
Niger,1989,43.7,43.1,43.1
Niger,1988,43.7,43.1,43.1
Niger,1987,43.6,43.1,43.1
Niger,1986,43.5,43.1,43.1
Niger,1985,43.3,43.1,43.1
Nigeria,2006,35.4,36.1,36.3
Nigeria,2005,35.4,36.1,36.3
Nigeria,2004,35.5,36.1,36.3
Nigeria,2003,35.7,36.1,36.3
Nigeria,2002,35.7,36.1,36.3
Nigeria,2001,35.7,36.1,36.3
Nigeria,2000,36.0,36.1,36.3
Nigeria,1999,36.0,36.1,36.3
Nigeria,1998,36.1,36.1,36.3
Nigeria,1997,36.2,36.1,36.3
Nigeria,1996,36.3,36.1,36.3
Nigeria,1995,36.4,36.1,36.3
Nigeria,1994,36.5,36.1,36.3
Nigeria,1993,36.6,36.1,36.3
Nigeria,1992,36.6,36.1,36.3
Nigeria,1991,36.6,36.1,36.3
Nigeria,1990,36.6,36.1,36.3
Nigeria,1989,36.4,36.1,36.3
Nigeria,1988,36.1,36.1,36.3
Nigeria,1987,36.1,36.1,36.3
Nigeria,1986,36.1,36.1,36.3
Nigeria,1985,36.2,36.1,36.3
Norway,2006,47.5,45.9,46.0
Norway,2005,47.3,45.9,46.0
Norway,2004,47.3,45.9,46.0
Norway,2003,47.2,45.9,46.0
Norway,2002,47.0,45.9,46.0
Norway,2001,46.8,45.9,46.0
Norway,2000,46.6,45.9,46.0
Norway,1999,46.5,45.9,46.0
Norway,1998,46.1,45.9,46.0
Norway,1997,46.1,45.9,46.0
Norway,1996,46.0,45.9,46.0
Norway,1995,45.8,45.9,46.0
Norway,1994,45.6,45.9,46.0
Norway,1993,45.6,45.9,46.0
Norway,1992,45.3,45.9,46.0
Norway,1991,45.4,45.9,46.0
Norway,1990,44.7,45.9,46.0
Norway,1989,44.6,45.9,46.0
Norway,1988,44.8,45.9,46.0
Norway,1987,44.7,45.9,46.0
Norway,1986,44.7,45.9,46.0
Norway,1985,43.3,45.9,46.0
Oman,2006,17.4,12.4,10.5
Oman,2005,16.6,12.4,10.5
Oman,2004,15.8,12.4,10.5
Oman,2003,14.5,12.4,10.5
Oman,2002,13.9,12.4,10.5
Oman,2001,13.2,12.4,10.5
Oman,2000,12.9,12.4,10.5
Oman,1999,12.3,12.4,10.5
Oman,1998,11.5,12.4,10.5
Oman,1997,10.9,12.4,10.5
Oman,1996,10.5,12.4,10.5
Oman,1995,10.3,12.4,10.5
Oman,1994,10.1,12.4,10.5
Oman,1993,10.3,12.4,10.5
Oman,1992,10.5,12.4,10.5
Oman,1991,10.9,12.4,10.5
Oman,1990,11.1,12.4,10.5
Oman,1989,11.6,12.4,10.5
Oman,1988,11.8,12.4,10.5
Oman,1987,12.1,12.4,10.5
Oman,1986,11.9,12.4,10.5
Oman,1985,11.9,12.4,10.5
Pakistan,2006,27.4,24.5,24.5
Pakistan,2005,26.9,24.5,24.5
Pakistan,2004,26.5,24.5,24.5
Pakistan,2003,26.5,24.5,24.5
Pakistan,2002,25.9,24.5,24.5
Pakistan,2001,25.3,24.5,24.5
Pakistan,2000,24.8,24.5,24.5
Pakistan,1999,24.8,24.5,24.5
Pakistan,1998,24.8,24.5,24.5
Pakistan,1997,24.6,24.5,24.5
Pakistan,1996,24.5,24.5,24.5
Pakistan,1995,24.3,24.5,24.5
Pakistan,1994,24.1,24.5,24.5
Pakistan,1993,23.9,24.5,24.5
Pakistan,1992,23.7,24.5,24.5
Pakistan,1991,23.5,24.5,24.5
Pakistan,1990,23.3,24.5,24.5
Pakistan,1989,23.1,24.5,24.5
Pakistan,1988,22.9,24.5,24.5
Pakistan,1987,22.8,24.5,24.5
Pakistan,1986,22.6,24.5,24.5
Pakistan,1985,22.4,24.5,24.5
Palestinian Territory Occupied,2006,13.2,12.8,13.3
Palestinian Territory Occupied,2005,13.1,12.8,13.3
Palestinian Territory Occupied,2004,13.1,12.8,13.3
Palestinian Territory Occupied,2003,13.5,12.8,13.3
Palestinian Territory Occupied,2002,13.4,12.8,13.3
Palestinian Territory Occupied,2001,13.2,12.8,13.3
Palestinian Territory Occupied,2000,13.0,12.8,13.3
Palestinian Territory Occupied,1999,13.0,12.8,13.3
Palestinian Territory Occupied,1998,13.2,12.8,13.3
Palestinian Territory Occupied,1997,13.3,12.8,13.3
Palestinian Territory Occupied,1996,13.3,12.8,13.3
Palestinian Territory Occupied,1995,13.3,12.8,13.3
Palestinian Territory Occupied,1994,13.3,12.8,13.3
Palestinian Territory Occupied,1993,13.1,12.8,13.3
Palestinian Territory Occupied,1992,12.7,12.8,13.3
Palestinian Territory Occupied,1991,12.2,12.8,13.3
Palestinian Territory Occupied,1990,11.9,12.8,13.3
Palestinian Territory Occupied,1989,11.9,12.8,13.3
Palestinian Territory Occupied,1988,11.9,12.8,13.3
Palestinian Territory Occupied,1987,12.1,12.8,13.3
Palestinian Territory Occupied,1986,12.0,12.8,13.3
Palestinian Territory Occupied,1985,12.5,12.8,13.3
Panama,2006,39.4,34.4,34.4
Panama,2005,38.8,34.4,34.4
Panama,2004,38.3,34.4,34.4
Panama,2003,36.6,34.4,34.4
Panama,2002,36.3,34.4,34.4
Panama,2001,35.9,34.4,34.4
Panama,2000,35.4,34.4,34.4
Panama,1999,34.9,34.4,34.4
Panama,1998,34.9,34.4,34.4
Panama,1997,34.9,34.4,34.4
Panama,1996,34.4,34.4,34.4
Panama,1995,34.2,34.4,34.4
Panama,1994,33.5,34.4,34.4
Panama,1993,33.0,34.4,34.4
Panama,1992,32.9,34.4,34.4
Panama,1991,32.8,34.4,34.4
Panama,1990,32.5,34.4,34.4
Panama,1989,32.3,34.4,34.4
Panama,1988,31.6,34.4,34.4
Panama,1987,31.6,34.4,34.4
Panama,1986,31.6,34.4,34.4
Panama,1985,31.0,34.4,34.4
Papua New Guinea,2006,48.6,47.6,48.2
Papua New Guinea,2005,48.6,47.6,48.2
Papua New Guinea,2004,48.6,47.6,48.2
Papua New Guinea,2003,48.7,47.6,48.2
Papua New Guinea,2002,48.5,47.6,48.2
Papua New Guinea,2001,48.5,47.6,48.2
Papua New Guinea,2000,48.4,47.6,48.2
Papua New Guinea,1999,48.4,47.6,48.2
Papua New Guinea,1998,48.3,47.6,48.2
Papua New Guinea,1997,48.2,47.6,48.2
Papua New Guinea,1996,48.2,47.6,48.2
Papua New Guinea,1995,48.0,47.6,48.2
Papua New Guinea,1994,47.9,47.6,48.2
Papua New Guinea,1993,47.7,47.6,48.2
Papua New Guinea,1992,47.4,47.6,48.2
Papua New Guinea,1991,47.0,47.6,48.2
Papua New Guinea,1990,46.6,47.6,48.2
Papua New Guinea,1989,46.5,47.6,48.2
Papua New Guinea,1988,46.2,47.6,48.2
Papua New Guinea,1987,46.0,47.6,48.2
Papua New Guinea,1986,45.5,47.6,48.2
Papua New Guinea,1985,45.2,47.6,48.2
Paraguay,2006,43.4,39.3,38.5
Paraguay,2005,43.1,39.3,38.5
Paraguay,2004,42.7,39.3,38.5
Paraguay,2003,42.7,39.3,38.5
Paraguay,2002,42.1,39.3,38.5
Paraguay,2001,41.4,39.3,38.5
Paraguay,2000,40.9,39.3,38.5
Paraguay,1999,40.3,39.3,38.5
Paraguay,1998,39.6,39.3,38.5
Paraguay,1997,39.0,39.3,38.5
Paraguay,1996,38.5,39.3,38.5
Paraguay,1995,38.0,39.3,38.5
Paraguay,1994,38.0,39.3,38.5
Paraguay,1993,38.3,39.3,38.5
Paraguay,1992,38.0,39.3,38.5
Paraguay,1991,37.1,39.3,38.5
Paraguay,1990,38.1,39.3,38.5
Paraguay,1989,38.8,39.3,38.5
Paraguay,1988,37.8,39.3,38.5
Paraguay,1987,36.6,39.3,38.5
Paraguay,1986,35.4,39.3,38.5
Paraguay,1985,34.2,39.3,38.5
Peru,2006,42.7,38.3,38.0
Peru,2005,42.3,38.3,38.0
Peru,2004,41.9,38.3,38.0
Peru,2003,41.8,38.3,38.0
Peru,2002,41.3,38.3,38.0
Peru,2001,40.8,38.3,38.0
Peru,2000,40.1,38.3,38.0
Peru,1999,39.6,38.3,38.0
Peru,1998,39.0,38.3,38.0
Peru,1997,38.4,38.3,38.0
Peru,1996,38.0,38.3,38.0
Peru,1995,37.4,38.3,38.0
Peru,1994,36.9,38.3,38.0
Peru,1993,36.9,38.3,38.0
Peru,1992,37.1,38.3,38.0
Peru,1991,37.3,38.3,38.0
Peru,1990,37.0,38.3,38.0
Peru,1989,36.5,38.3,38.0
Peru,1988,35.8,38.3,38.0
Peru,1987,35.0,38.3,38.0
Peru,1986,34.1,38.3,38.0
Peru,1985,33.0,38.3,38.0
Philippines,2006,40.2,37.5,37.0
Philippines,2005,39.8,37.5,37.0
Philippines,2004,39.4,37.5,37.0
Philippines,2003,38.7,37.5,37.0
Philippines,2002,38.7,37.5,37.0
Philippines,2001,38.7,37.5,37.0
Philippines,2000,37.4,37.5,37.0
Philippines,1999,37.7,37.5,37.0
Philippines,1998,37.2,37.5,37.0
Philippines,1997,37.2,37.5,37.0
Philippines,1996,37.0,37.5,37.0
Philippines,1995,37.2,37.5,37.0
Philippines,1994,36.5,37.5,37.0
Philippines,1993,36.7,37.5,37.0
Philippines,1992,36.6,37.5,37.0
Philippines,1991,36.3,37.5,37.0
Philippines,1990,36.5,37.5,37.0
Philippines,1989,36.3,37.5,37.0
Philippines,1988,36.3,37.5,37.0
Philippines,1987,36.5,37.5,37.0
Philippines,1986,36.8,37.5,37.0
Philippines,1985,37.3,37.5,37.0
Poland,2006,46.0,45.7,45.5
Poland,2005,46.0,45.7,45.5
Poland,2004,45.9,45.7,45.5
Poland,2003,45.8,45.7,45.5
Poland,2002,45.8,45.7,45.5
Poland,2001,45.9,45.7,45.5
Poland,2000,45.8,45.7,45.5
Poland,1999,45.7,45.7,45.5
Poland,1998,45.5,45.7,45.5
Poland,1997,45.4,45.7,45.5
Poland,1996,45.5,45.7,45.5
Poland,1995,45.5,45.7,45.5
Poland,1994,45.7,45.7,45.5
Poland,1993,45.5,45.7,45.5
Poland,1992,45.5,45.7,45.5
Poland,1991,45.7,45.7,45.5
Poland,1990,45.9,45.7,45.5
Poland,1989,45.7,45.7,45.5
Poland,1988,45.6,45.7,45.5
Poland,1987,45.5,45.7,45.5
Poland,1986,45.4,45.7,45.5
Poland,1985,45.4,45.7,45.5
Portugal,2006,46.6,44.3,44.8
Portugal,2005,46.5,44.3,44.8
Portugal,2004,46.3,44.3,44.8
Portugal,2003,46.0,44.3,44.8
Portugal,2002,45.7,44.3,44.8
Portugal,2001,45.5,44.3,44.8
Portugal,2000,45.4,44.3,44.8
Portugal,1999,45.2,44.3,44.8
Portugal,1998,45.0,44.3,44.8
Portugal,1997,45.3,44.3,44.8
Portugal,1996,44.8,44.3,44.8
Portugal,1995,44.6,44.3,44.8
Portugal,1994,44.3,44.3,44.8
Portugal,1993,44.0,44.3,44.8
Portugal,1992,43.5,44.3,44.8
Portugal,1991,43.6,44.3,44.8
Portugal,1990,42.8,44.3,44.8
Portugal,1989,42.3,44.3,44.8
Portugal,1988,42.2,44.3,44.8
Portugal,1987,41.8,44.3,44.8
Portugal,1986,41.1,44.3,44.8
Portugal,1985,41.3,44.3,44.8
Puerto Rico,2006,41.8,38.0,37.9
Puerto Rico,2005,41.5,38.0,37.9
Puerto Rico,2004,41.3,38.0,37.9
Puerto Rico,2003,40.7,38.0,37.9
Puerto Rico,2002,40.7,38.0,37.9
Puerto Rico,2001,40.7,38.0,37.9
Puerto Rico,2000,40.1,38.0,37.9
Puerto Rico,1999,40.1,38.0,37.9
Puerto Rico,1998,38.3,38.0,37.9
Puerto Rico,1997,38.3,38.0,37.9
Puerto Rico,1996,37.9,38.0,37.9
Puerto Rico,1995,37.9,38.0,37.9
Puerto Rico,1994,37.8,38.0,37.9
Puerto Rico,1993,37.7,38.0,37.9
Puerto Rico,1992,36.5,38.0,37.9
Puerto Rico,1991,35.7,38.0,37.9
Puerto Rico,1990,35.9,38.0,37.9
Puerto Rico,1989,35.6,38.0,37.9
Puerto Rico,1988,35.3,38.0,37.9
Puerto Rico,1987,34.2,38.0,37.9
Puerto Rico,1986,33.6,38.0,37.9
Puerto Rico,1985,33.9,38.0,37.9
Qatar,2006,14.0,12.4,13.5
Qatar,2005,13.9,12.4,13.5
Qatar,2004,13.7,12.4,13.5
Qatar,2003,14.0,12.4,13.5
Qatar,2002,14.2,12.4,13.5
Qatar,2001,14.2,12.4,13.5
Qatar,2000,14.0,12.4,13.5
Qatar,1999,14.1,12.4,13.5
Qatar,1998,14.0,12.4,13.5
Qatar,1997,13.7,12.4,13.5
Qatar,1996,13.5,12.4,13.5
Qatar,1995,13.0,12.4,13.5
Qatar,1994,12.5,12.4,13.5
Qatar,1993,12.0,12.4,13.5
Qatar,1992,11.5,12.4,13.5
Qatar,1991,11.0,12.4,13.5
Qatar,1990,10.5,12.4,13.5
Qatar,1989,10.1,12.4,13.5
Qatar,1988,10.1,12.4,13.5
Qatar,1987,9.7,12.4,13.5
Qatar,1986,9.4,12.4,13.5
Qatar,1985,9.6,12.4,13.5
Republic of Moldova,2006,47.1,48.1,47.9
Republic of Moldova,2005,47.2,48.1,47.9
Republic of Moldova,2004,47.4,48.1,47.9
Republic of Moldova,2003,47.6,48.1,47.9
Republic of Moldova,2002,47.7,48.1,47.9
Republic of Moldova,2001,47.8,48.1,47.9
Republic of Moldova,2000,47.9,48.1,47.9
Republic of Moldova,1999,47.9,48.1,47.9
Republic of Moldova,1998,47.9,48.1,47.9
Republic of Moldova,1997,47.9,48.1,47.9
Republic of Moldova,1996,47.9,48.1,47.9
Republic of Moldova,1995,47.9,48.1,47.9
Republic of Moldova,1994,47.9,48.1,47.9
Republic of Moldova,1993,48.1,48.1,47.9
Republic of Moldova,1992,48.2,48.1,47.9
Republic of Moldova,1991,48.5,48.1,47.9
Republic of Moldova,1990,48.5,48.1,47.9
Republic of Moldova,1989,48.7,48.1,47.9
Republic of Moldova,1988,48.8,48.1,47.9
Republic of Moldova,1987,49.0,48.1,47.9
Republic of Moldova,1986,49.2,48.1,47.9
Republic of Moldova,1985,49.4,48.1,47.9
Reunion,2006,40.6,41.7,41.3
Reunion,2005,40.8,41.7,41.3
Reunion,2004,40.5,41.7,41.3
Reunion,2003,40.7,41.7,41.3
Reunion,2002,40.8,41.7,41.3
Reunion,2001,41.0,41.7,41.3
Reunion,2000,40.9,41.7,41.3
Reunion,1999,41.3,41.7,41.3
Reunion,1998,41.6,41.7,41.3
Reunion,1997,41.4,41.7,41.3
Reunion,1996,41.3,41.7,41.3
Reunion,1995,41.6,41.7,41.3
Reunion,1994,41.6,41.7,41.3
Reunion,1993,41.6,41.7,41.3
Reunion,1992,41.6,41.7,41.3
Reunion,1991,42.0,41.7,41.3
Reunion,1990,42.3,41.7,41.3
Reunion,1989,42.8,41.7,41.3
Reunion,1988,42.9,41.7,41.3
Reunion,1987,43.0,41.7,41.3
Reunion,1986,43.4,41.7,41.3
Reunion,1985,43.5,41.7,41.3
Romania,2006,46.3,45.4,45.6
Romania,2005,46.2,45.4,45.6
Romania,2004,46.1,45.4,45.6
Romania,2003,45.2,45.4,45.6
Romania,2002,45.6,45.4,45.6
Romania,2001,46.2,45.4,45.6
Romania,2000,46.0,45.4,45.6
Romania,1999,45.8,45.4,45.6
Romania,1998,45.6,45.4,45.6
Romania,1997,45.8,45.4,45.6
Romania,1996,45.6,45.4,45.6
Romania,1995,46.3,45.4,45.6
Romania,1994,45.8,45.4,45.6
Romania,1993,45.4,45.4,45.6
Romania,1992,45.0,45.4,45.6
Romania,1991,44.6,45.4,45.6
Romania,1990,44.3,45.4,45.6
Romania,1989,44.4,45.4,45.6
Romania,1988,44.5,45.4,45.6
Romania,1987,44.6,45.4,45.6
Romania,1986,44.7,45.4,45.6
Romania,1985,44.8,45.4,45.6
Russian Federation,2006,49.0,48.4,47.7
Russian Federation,2005,49.0,48.4,47.7
Russian Federation,2004,48.9,48.4,47.7
Russian Federation,2003,48.7,48.4,47.7
Russian Federation,2002,49.0,48.4,47.7
Russian Federation,2001,48.6,48.4,47.7
Russian Federation,2000,48.3,48.4,47.7
Russian Federation,1999,48.0,48.4,47.7
Russian Federation,1998,47.8,48.4,47.7
Russian Federation,1997,47.7,48.4,47.7
